division,date,percentage
High,2019-03-01,-1
High,2019-04-01,3
High,2019-05-01,3
High,2019-06-01,-6
High,2019-07-01,3
High,2019-08-01,3
High,2019-09-01,0
High,2019-10-01,3
High,2019-11-01,2
High,2019-12-01,-5
High,2020-01-01,5
High,2020-02-01,3
High,2020-03-01,-27
High,2020-04-01,-71
High,2020-05-01,-59
High,2020-06-01,-51
High,2020-07-01,-48
High,2020-08-01,-38
High,2020-09-01,-25
High,2020-10-01,-19
High,2020-11-01,-20
High,2020-12-01,-15
High,2021-01-01,-35
High,2021-02-01,-21
High,2021-03-01,8
High,2021-04-01,333
High,2021-05-01,114
High,2021-06-01,50
High,2021-07-01,12
High,2021-08-01,26
High,2021-09-01,14
High,2021-10-01,6
High,2021-11-01,-2
High,2021-12-01,5
High,2022-01-01,34
High,2022-02-01,10
High,2022-03-01,4
High,2022-04-01,1
